Index,Node ID 1,Node Name V1,Node ID 2,Node Name V2,,Nodes Added,
106,V1_106,Need for insights about customers,V2_88,Need for insights about customers,,,
107,V1_107,Business model based on data monetisation,V2_6,Commodification of data,,,
108,V1_108,Privacy breaches,V2_27,Likelihood of privacy violation,,,
109,V1_109,Cost of data storage technology,V2_90,Cost of data storage technology,,,
110,V1_110,Cost-cutting,V2_77,Cost-cutting,,,
111,V1_111,Faster delivery services,V2_76,Need to achieve efficiency,,,
112,V1_112,Partnering with other entities to provide bundle services,V2_91,Partnering with other entities to provide bundle services,,,
113,V1_113,Expanding products/ services offering,V2_92,Expansion of service offering,,,
114,V1_114,Onset of new technologies,V2_93,Onset of new technologies,,,
115,V1_115,Data retained by private entities,V2_11,Data retained by private entities,,,
116,V1_116,Quality of services,V2_54,Quality of services,,,
117,V1_117,Opportunities for data monetisation,V2_6,Commodification of data,,,
118,V1_118,Tampering political systems,V2_85,Tampering political systems,,,
119,V1_119,Undesignated use of data,V2_95,Undesignated use of data,,,
120,V1_120,Timesaving,V2_39,Perceived level of technological convenience,,,
121,V1_121,Consumerism,V2_97,Consumerism,,,
122,V1_122,Ease of access to my data as a user,V2_96,Ease of access to my data as a user,,,
123,V1_123,Connectedness through virtual environments,#N/A,NA,,,
124,V1_124,Trust in service providers,V2_23,Level of citizen sensitisation,,,
125,V1_125,Justice,V2_56,Realisation of human rights,,,
126,V1_126,Polls or surveys from citizens to decide how and where to provide community resources,V2_99,City-led data collection schemes,,,
127,V1_127,Need for information to develop and maintain the city/urban environment,V2_30,Need for data insights in government,,,
128,V1_128,Surveillance of the community,V2_100,City-led use of surveillance technologies,,,
129,V1_129,A desire / imperative to serve the community; this is literally the city council's entire role,#N/A,NA,,,
130,V1_130,Fighting /reducing criminal activity,V2_101,Need to reduce criminal activity,,,
131,V1_131,Amount of data retained with city council,V2_10,Data retained by city council,,,
132,V1_132,City can aggregate data to make decisions about infrastructure,V2_108,Optimisation of urban infrastructures,,,
133,V1_133,Data is stored as historical data for future comparisons,#N/A,NA,,,
134,V1_134,Data is (hopefully) appropriately access-controlled to protect the privacy of individuals,V2_27,Likelihood of privacy violation,,,
135,V1_135,"Data is aggregated and de-identified where appropriate, again to preserve individual privacy, while also remaining useful for its intended collection purpose",V2_102,Aggregation of data,,,
136,V1_136,Data is (hopefully) kept for only as long as is required before being securely erased,V2_86,Data disposal,,,
