Master ID,Node ID,cause,Master ID,Node ID,effect,polarity,participant_number,participant_type,version,modification
3,V1_3,Allocating funding for public services,23,V1_23,Ensuring citizens interests,positive,5,Citizen,1,
23,V1_23,Ensuring citizens interests,20,V1_20,Empowerment of vulnerable groups,positive,5,Citizen,1,
23,V1_23,Ensuring citizens interests,83,V1_83,"Wellbeing, livelihood, and safety",positive,5,Citizen,1,
23,V1_23,Ensuring citizens interests,6,V1_6,Amount of urban data retained by public entities,positive,5,Citizen,1,
30,V1_30,Legal permission to use data (Identify and Disrupt Act),19,V1_19,Data used by law enforcement,positive,7,Advocate,1,
24,V1_24,Exemptions in different acts,1,V1_1,Access to data from other entities,positive,7,Advocate,1,
13,V1_13,Collection of data by law enforcement,19,V1_19,Data used by law enforcement,positive,7,Advocate,1,
69,V1_69,Social and political expectations for law enforcement to be using data and technologies to better police,19,V1_19,Data used by law enforcement,positive,7,Advocate,1,
78,V1_78,Techno-solutionism,69,V1_69,Social and political expectations for law enforcement to be using data and technologies to better police,positive,7,Advocate,1,
43,V1_43,People's concerns about crime,69,V1_69,Social and political expectations for law enforcement to be using data and technologies to better police,positive,7,Advocate,1,
45,V1_45,Pop-culture,69,V1_69,Social and political expectations for law enforcement to be using data and technologies to better police,positive,7,Advocate,1,
19,V1_19,Data used by law enforcement,46,V1_46,Predictive policing,positive,7,Advocate,1,
19,V1_19,Data used by law enforcement,64,V1_64,Reactive policing,positive,7,Advocate,1,
46,V1_46,Predictive policing,8,V1_8,Biased and discriminatory outcomes that reinforce historical and social inequalities in race and class,positive,7,Advocate,1,
46,V1_46,Predictive policing,44,V1_44,"People's sense of being able to move in public spaces, protest. etc.",negative,7,Advocate,1,
64,V1_64,Reactive policing,44,V1_44,"People's sense of being able to move in public spaces, protest. etc.",negative,7,Advocate,1,
44,V1_44,"People's sense of being able to move in public spaces, protest. etc.",81,V1_81,Undermining of human rights,positive,7,Advocate,1,
1,V1_1,Access to data from other entities,19,V1_19,Data used by law enforcement,positive,7,Advocate,1,
,V1_90,Technology,,V1_101,Nefarious use of data,positive,2,Expert,1,
,V1_84,Regulations,,V1_101,Nefarious use of data,negative,2,Expert,1,
,,Awareness,,V1_101,Nefarious use of data,negative,2,Expert,1,
,,Opportunity to gain power,,V1_101,Nefarious use of data,positive,2,Expert,1,
,,Embededness of data collection processes in daily lives,,V1_101,Nefarious use of data,positive,2,Expert,1,
,V1_88,Need to achieve efficiency,,,Embededness of data collection processes in daily lives,positive,2,Expert,1,
,V1_89,Degree of neoliberalism,,V1_88,Need to achieve efficiency,positive,2,Expert,1,
,V1_89,Degree of neoliberalism,,,Opportunity to gain power,positive,2,Expert,1,
,V1_89,Degree of neoliberalism,,V1_84,Regulations,negative,2,Expert,1,
,V1_89,Degree of neoliberalism,,V1_90,Technology,positive,2,Expert,1,
,V1_91,People's perception of human connectedness,,,Opportunity to gain power,positive,2,Expert,1,
,V1_91,People's perception of human connectedness,,,Awareness,negative,2,Expert,1,
,V1_92,Human curiosity,,V1_90,Technology,positive,2,Expert,1,
,V1_100,Individualism,,V1_91,People's perception of human connectedness,positive,2,Expert,1,
,V1_101,Nefarious use of data,,V1_93,Disinformation,positive,2,Expert,1,
,V1_101,Nefarious use of data,,V1_94,Empowerment of already powerful actors (e.g. Big Tech),positive,2,Expert,1,
,V1_101,Nefarious use of data,,V1_95,Degree of control over people,positive,2,Expert,1,
,V1_101,Nefarious use of data,,V1_96,Collective action,positive,2,Expert,1,
,V1_101,Nefarious use of data,,V1_97,(dis)empowerment of individuals/groups,negative,2,Expert,1,
,V1_96,Collective action,,V1_100,Individualism,negative,2,Expert,1,
,V1_100,Individualism,,V1_89,Degree of neoliberalism,positive,2,Expert,1,
,V1_94,Empowerment of already powerful actors (e.g. Big Tech),,V1_98,Economic equality,negative,2,Expert,1,
,V1_97,(dis)empowerment of individuals/groups,,V1_98,Economic equality,positive,2,Expert,1,
,V1_93,Disinformation,,V1_99,Ethical political discourse,negative,2,Expert,1,
,V1_99,Ethical political discourse,,V1_85,Awareness,positive,2,Expert,1,
,V1_84,Regulations,,V1_115,Data retained by private entities,negative,9,Expert,1,
,V1_102,Data disposal,,V1_115,Data retained by private entities,negative,9,Expert,1,
,V1_103,Tendency to go digital,,V1_115,Data retained by private entities,positive,9,Expert,1,
,V1_104,Need for customised user experience,,V1_115,Data retained by private entities,positive,9,Expert,1,
,V1_105,Data sharing between entities,,V1_115,Data retained by private entities,positive,9,Expert,1,
,V1_106,Need for insights about customers,,V1_115,Data retained by private entities,positive,9,Expert,1,
,V1_107,Business model based on data monetisation,,V1_115,Data retained by private entities,positive,9,Expert,1,
,V1_108,Privacy breaches,,V1_102,Data disposal,positive,9,Expert,1,
,V1_109,Cost of data storage technology,,V1_102,Data disposal,positive,9,Expert,1,
,V1_110,Cost-cutting,,V1_103,Tendency to go digital,positive,9,Expert,1,
,V1_111,Faster delivery services,,V1_103,Tendency to go digital,positive,9,Expert,1,
,V1_104,Need for customised user experience,,V1_120,Timesaving,positive,9,Expert,1,
,V1_104,Need for customised user experience,,V1_121,Consumerism,positive,9,Expert,1,
,V1_112,Partnering with other entities to provide bundle services,,V1_121,Consumerism,positive,9,Expert,1,
,V1_112,Partnering with other entities to provide bundle services,,V1_122,Ease of access to my data as a user,positive,9,Expert,1,
,V1_112,Partnering with other entities to provide bundle services,,V1_105,Data sharing between entities,positive,9,Expert,1,
,V1_113,Expanding products/ services offering,,V1_106,Need for insights about customers,positive,9,Expert,1,
,V1_114,Onset of new technologies,,V1_115,Data retained by private entities,positive,9,Expert,1,
,V1_115,Data retained by private entities,,V1_123,Connectedness through virtual environments,positive,9,Expert,1,
,V1_115,Data retained by private entities,,V1_124,Trust in service providers,negative,9,Expert,1,
,V1_115,Data retained by private entities,,V1_116,Quality of services,positive,9,Expert,1,
,V1_115,Data retained by private entities,,V1_117,Opportunities for data monetisation,positive,9,Expert,1,
,V1_116,Quality of services,,V1_113,Expanding products/ services offering,positive,9,Expert,1,
,V1_117,Opportunities for data monetisation,,V1_114,Onset of new technologies,positive,9,Expert,1,
,V1_117,Opportunities for data monetisation,,V1_119,Undesignated use of data,positive,9,Expert,1,
,V1_117,Opportunities for data monetisation,,V1_118,Tampering political systems,positive,9,Expert,1,
,V1_118,Tampering political systems,,V1_125,Justice,negative,9,Expert,1,
,V1_119,Undesignated use of data,,V1_108,Privacy breaches,positive,9,Expert,1,
,V1_126,Polls or surveys from citizens to decide how and where to provide community resources,,V1_131,Amount of data retained with city council,positive,6,Advocate,1,
,V1_127,Need for information to develop and maintain the city/urban environment,,V1_131,Amount of data retained with city council,positive,6,Advocate,1,
,V1_128,Surveillance of the community,,V1_131,Amount of data retained with city council,positive,6,Advocate,1,
,V1_129,A desire / imperative to serve the community; this is literally the city council's entire role,,V1_126,Polls or surveys from citizens to decide how and where to provide community resources,positive,6,Advocate,1,
,V1_129,A desire / imperative to serve the community; this is literally the city council's entire role,,V1_127,Need for information to develop and maintain the city/urban environment,positive,6,Advocate,1,
,V1_130,fighting /reducing criminal activity,,V1_128,Surveillance of the community,positive,6,Advocate,1,
,V1_131,Amount of data retained with city council,,V1_132,City can aggregate data to make decisions about infrastructure,positive,6,Advocate,1,
,V1_131,Amount of data retained with city council,,V1_133,Data is stored as historical data for future comparisons,positive,6,Advocate,1,
,V1_131,Amount of data retained with city council,,V1_134,Data is (hopefully) appropriately access-controlled to protect the privacy of individuals,positive,6,Advocate,1,
,V1_131,Amount of data retained with city council,,V1_135,"Data is aggregated and de-identified where appropriate, again to preserve individual privacy, while also remaining useful for its intended collection purpose",positive,6,Advocate,1,
,V1_131,Amount of data retained with city council,,V1_136,Data is (hopefully) kept for only as long as is required before being securely erased,positive,6,Advocate,1,
